,E (MeV),loc,Power,Avg. Flux
432,4.25e-10,FT5,85.0,282957478260.86957
433,4.25e-10,FT5,100.0,341590666666.6667
434,4.25e-10,PTP,85.0,163747200000.0
435,4.25e-10,PTP,100.0,288202188000.0
436,4.25e-10,RB,85.0,139386055000.0
437,4.25e-10,RB,100.0,144480250000.0
438,4.5e-10,FT5,85.0,309222760869.56525
439,4.5e-10,FT5,100.0,374591104166.6667
440,4.5e-10,PTP,85.0,179429800000.0
441,4.5e-10,PTP,100.0,316530400000.0
442,4.5e-10,RB,85.0,148720952500.0
443,4.5e-10,RB,100.0,154478840000.0
444,4.75e-10,FT5,85.0,336317398550.7246
445,4.75e-10,FT5,100.0,408740104166.6667
446,4.75e-10,PTP,85.0,195644900000.0
447,4.75e-10,PTP,100.0,345892500000.0
448,4.75e-10,RB,85.0,158129222500.0
449,4.75e-10,RB,100.0,164577045000.0
450,5e-10,FT5,85.0,364222268115.942
451,5e-10,FT5,100.0,444014041666.6667
452,5e-10,PTP,85.0,212380700000.0
453,5e-10,PTP,100.0,376269292000.0
454,5e-10,RB,85.0,167607295000.0
455,5e-10,RB,100.0,174770805000.0
456,5.25e-10,FT5,85.0,392919500000.0
457,5.25e-10,FT5,100.0,480390770833.3333
458,5.25e-10,PTP,85.0,229626800000.0
459,5.25e-10,PTP,100.0,407642840000.0
460,5.25e-10,RB,85.0,177152140000.0
461,5.25e-10,RB,100.0,185056310000.0
462,5.5e-10,FT5,85.0,422392543478.26086
463,5.5e-10,FT5,100.0,517850125000.0
464,5.5e-10,PTP,85.0,247373400000.0
465,5.5e-10,PTP,100.0,439996504000.0
466,5.5e-10,RB,85.0,186760922500.0
467,5.5e-10,RB,100.0,195430150000.0
468,5.75e-10,FT5,85.0,452626028985.50726
469,5.75e-10,FT5,100.0,556373145833.3334
470,5.75e-10,PTP,85.0,265611100000.0
471,5.75e-10,PTP,100.0,473314780000.0
472,5.75e-10,RB,85.0,196430890000.0
473,5.75e-10,RB,100.0,205889300000.0
474,6e-10,FT5,85.0,485640673913.04346
475,6e-10,FT5,100.0,598637291666.6666
476,6e-10,PTP,85.0,285581500000.0
477,6e-10,PTP,100.0,509841100000.0
478,6e-10,RB,85.0,206648137500.0
479,6e-10,RB,100.0,216960750000.0
480,6.3e-10,FT5,85.0,527045123188.4058
481,6.3e-10,FT5,100.0,651572104166.6666
482,6.3e-10,PTP,85.0,310219000000.0
483,6.3e-10,PTP,100.0,554747984000.0
484,6.3e-10,RB,85.0,219405892500.0
485,6.3e-10,RB,100.0,230769100000.0
486,6.6e-10,FT5,85.0,579028782608.6957
487,6.6e-10,FT5,100.0,717519395833.3334
488,6.6e-10,PTP,85.0,340267400000.0
489,6.6e-10,PTP,100.0,609241160000.0
490,6.6e-10,RB,85.0,235921425000.0
491,6.6e-10,RB,100.0,248597100000.0
492,6.9e-10,FT5,85.0,637104927536.2319
493,6.9e-10,FT5,100.0,790979145833.3334
494,6.9e-10,PTP,85.0,373349200000.0
495,6.9e-10,PTP,100.0,669154864000.0
496,6.9e-10,RB,85.0,254470525000.0
497,6.9e-10,RB,100.0,268616500000.0
498,7.2e-10,FT5,85.0,703567340579.7102
499,7.2e-10,FT5,100.0,875195520833.3334
500,7.2e-10,PTP,85.0,411073100000.0
501,7.2e-10,PTP,100.0,737566680000.0
502,7.2e-10,RB,85.0,275261725000.0
503,7.2e-10,RB,100.0,291090800000.0
504,7.6e-10,FT5,85.0,784686420289.8551
505,7.6e-10,FT5,100.0,978161062500.0
506,7.6e-10,PTP,85.0,456948900000.0
507,7.6e-10,PTP,100.0,820874344000.0
508,7.6e-10,RB,85.0,300114575000.0
509,7.6e-10,RB,100.0,317996100000.0
510,8e-10,FT5,85.0,876308456521.7391
511,8e-10,FT5,100.0,1094660104166.6666
512,8e-10,PTP,85.0,508575400000.0
513,8e-10,PTP,100.0,914752912000.0
514,8e-10,RB,85.0,327600650000.0
515,8e-10,RB,100.0,347800350000.0
516,8.4e-10,FT5,85.0,973132231884.058
517,8.4e-10,FT5,100.0,1217591000000.0
518,8.4e-10,PTP,85.0,563163200000.0
519,8.4e-10,PTP,100.0,1013947692000.0
520,8.4e-10,RB,85.0,356109500000.0
521,8.4e-10,RB,100.0,378767550000.0
522,8.8e-10,FT5,85.0,1073640869565.2174
523,8.8e-10,FT5,100.0,1340436458333.3333
524,8.8e-10,PTP,85.0,621370600000.0
525,8.8e-10,PTP,100.0,1117830392000.0
526,8.8e-10,RB,85.0,386067850000.0
527,8.8e-10,RB,100.0,411271700000.0
528,9.2e-10,FT5,85.0,1176643557971.0144
529,9.2e-10,FT5,100.0,1457163458333.3333
530,9.2e-10,PTP,85.0,683822000000.0
531,9.2e-10,PTP,100.0,1225831292000.0
532,9.2e-10,RB,85.0,417987625000.0
533,9.2e-10,RB,100.0,445771250000.0
534,9.6e-10,FT5,85.0,1283312326086.9565
535,9.6e-10,FT5,100.0,1572712020833.3333
536,9.6e-10,PTP,85.0,750073100000.0
537,9.6e-10,PTP,100.0,1338498884000.0
538,9.6e-10,RB,85.0,451550175000.0
539,9.6e-10,RB,100.0,482008700000.0
540,1e-09,FT5,85.0,1402067036231.884
541,1e-09,FT5,100.0,1699989895833.3333
542,1e-09,PTP,85.0,824225300000.0
543,1e-09,PTP,100.0,1464123708000.0
544,1e-09,RB,85.0,488622800000.0
545,1e-09,RB,100.0,522095750000.0
546,1.05e-09,FT5,85.0,1541229347826.087
547,1.05e-09,FT5,100.0,1847560000000.0
548,1.05e-09,PTP,85.0,911575500000.0
549,1.05e-09,PTP,100.0,1611556304000.0
550,1.05e-09,RB,85.0,531736350000.0
551,1.05e-09,RB,100.0,568778350000.0
552,1.1e-09,FT5,85.0,1725082050724.6377
553,1.1e-09,FT5,100.0,2050958125000.0
554,1.1e-09,PTP,85.0,1025730400000.0
555,1.1e-09,PTP,100.0,1808188360000.0
556,1.1e-09,RB,85.0,597067975000.0
557,1.1e-09,RB,100.0,638537400000.0
558,1.15e-09,FT5,85.0,1984495021739.1304
559,1.15e-09,FT5,100.0,2354978541666.6665
560,1.15e-09,PTP,85.0,1184064000000.0
561,1.15e-09,PTP,100.0,2088966240000.0
562,1.15e-09,RB,85.0,705629075000.0
563,1.15e-09,RB,100.0,752711900000.0
564,1.2e-09,FT5,85.0,2348441115942.029
565,1.2e-09,FT5,100.0,2789660416666.6665
566,1.2e-09,PTP,85.0,1405169800000.0
567,1.2e-09,PTP,100.0,2485862640000.0
568,1.2e-09,RB,85.0,870458125000.0
569,1.2e-09,RB,100.0,924747950000.0
570,1.275e-09,FT5,85.0,2854896231884.058
571,1.275e-09,FT5,100.0,3394846041666.6665
572,1.275e-09,PTP,85.0,1713403000000.0
573,1.275e-09,PTP,100.0,3041163720000.0
574,1.275e-09,RB,85.0,1110167050000.0
575,1.275e-09,RB,100.0,1173670500000.0
576,1.35e-09,FT5,85.0,3373865797101.449
577,1.35e-09,FT5,100.0,4018238958333.3335
578,1.35e-09,PTP,85.0,2026362000000.0
579,1.35e-09,PTP,100.0,3607302000000.0
580,1.35e-09,RB,85.0,1368144175000.0
581,1.35e-09,RB,100.0,1440745050000.0
582,1.425e-09,FT5,85.0,3732536811594.203
583,1.425e-09,FT5,100.0,4456644583333.333
584,1.425e-09,PTP,85.0,2234801000000.0
585,1.425e-09,PTP,100.0,3987284640000.0
586,1.425e-09,RB,85.0,1562255250000.0
587,1.425e-09,RB,100.0,1641467950000.0
588,1.5e-09,FT5,85.0,4023151811594.203
589,1.5e-09,FT5,100.0,4818971458333.333
590,1.5e-09,PTP,85.0,2396187000000.0
591,1.5e-09,PTP,100.0,4284190760000.0
592,1.5e-09,RB,85.0,1734540625000.0
593,1.5e-09,RB,100.0,1819415000000.0
594,1.6e-09,FT5,85.0,4365689202898.551
595,1.6e-09,FT5,100.0,5247273125000.0
596,1.6e-09,PTP,85.0,2585211000000.0
597,1.6e-09,PTP,100.0,4632857080000.0
598,1.6e-09,RB,85.0,1944022175000.0
599,1.6e-09,RB,100.0,2035325500000.0
600,1.7e-09,FT5,85.0,4739049637681.159
601,1.7e-09,FT5,100.0,5716121458333.333
602,1.7e-09,PTP,85.0,2797947000000.0
603,1.7e-09,PTP,100.0,5015581320000.0
604,1.7e-09,RB,85.0,2155549300000.0
605,1.7e-09,RB,100.0,2253282500000.0
606,1.8e-09,FT5,85.0,5120420434782.608
607,1.8e-09,FT5,100.0,6198416041666.667
608,1.8e-09,PTP,85.0,3039535000000.0
609,1.8e-09,PTP,100.0,5418138120000.0
610,1.8e-09,RB,85.0,2303649950000.0
